prop_name,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region,district,facility_count,has_pool,has_gym,additional_facility_count,near_rail,has_ac,cooking_allowed,has_internet,rent
3 Residen,Condominium,2.0,2.0,2.0,1206.0,2,"Minimart, Playground, Gymnasium, Swimming Pool, Security, Barbeque area, Sauna, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Taman Melawati,9,1,1,3,0,1,1,0,2600.0
TR Residence,Service Residence,2.0,1.0,1.0,710.0,2,"Gymnasium, Security, Barbeque area, Multipurpose hall, Jogging Track, Swimming Pool, Playground, Sauna, Lift","Cooking Allowed, Air-Cond, Washing Machine, Near KTM/LRT",Kuala Lumpur,Titiwangsa,9,1,1,4,1,1,1,0,2600.0
M Centura,Service Residence,3.0,2.0,2.0,850.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,Sentul,13,1,1,5,1,1,1,1,1300.0
M Centura,Service Residence,2.0,0.0,1.0,650.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,Sentul,13,1,1,5,1,1,1,1,1700.0
Majestic Maxim,Service Residence,3.0,2.0,2.0,819.0,1,"Playground, Lift, Barbeque area, Security, Swimming Pool, Gymnasium, Jogging Track",Air-Cond,Kuala Lumpur,Cheras,7,1,1,1,0,1,0,0,1400.0
Majestic Maxim,Service Residence,2.0,1.0,2.0,650.0,0,"Gymnasium, Barbeque area, Playground, Lift, Security, Swimming Pool, Jogging Track",,Kuala Lumpur,Cheras,7,1,1,1,0,0,0,0,1300.0
The Era,Service Residence,2.0,2.0,2.0,800.0,2,"Sauna, Security, Jogging Track, Playground, Gymnasium, Swimming Pool, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Segambut,7,1,1,3,0,1,1,0,2400.0
Majestic Maxim,Service Residence,2.0,2.0,2.0,650.0,1,"Playground, Lift, Barbeque area, Security, Swimming Pool, Gymnasium, Jogging Track",Air-Cond,Kuala Lumpur,Cheras,7,1,1,1,0,1,0,0,1300.0
Maxim Residences,Service Residence,3.0,2.0,2.0,1050.0,1,"Gymnasium, Swimming Pool, Security",,Kuala Lumpur,Cheras,3,1,1,1,0,0,0,0,1400.0
Majestic Maxim,Service Residence,3.0,2.0,2.0,819.0,1,"Playground, Lift, Barbeque area, Security, Swimming Pool, Gymnasium, Jogging Track","Air-Cond, Washing Machine",Kuala Lumpur,Cheras,7,1,1,2,0,1,0,0,1700.0
The Elements,Service Residence,2.0,1.0,2.0,950.0,2,"Swimming Pool, Barbeque area, Security, Playground, Jogging Track, Multipurpose hall, Sauna, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Ampang,9,1,1,3,0,1,1,0,2100.0
Majestic Maxim,Service Residence,2.0,2.0,2.0,650.0,1,"Playground, Lift, Barbeque area, Security, Swimming Pool, Gymnasium, Jogging Track",Air-Cond,Kuala Lumpur,Cheras,7,1,1,1,0,1,0,0,1400.0
Majestic Maxim,Service Residence,3.0,2.0,2.0,819.0,1,"Playground, Lift, Barbeque area, Security, Swimming Pool, Gymnasium, Jogging Track",Air-Cond,Kuala Lumpur,Cheras,7,1,1,1,0,1,0,0,1500.0
Majestic Maxim,Service Residence,2.0,1.0,2.0,650.0,1,"Playground, Jogging Track, Lift, Barbeque area, Swimming Pool, Gymnasium, Security, Sauna, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Cheras,10,1,1,4,1,1,1,0,1600.0
Majestic Maxim,Service Residence,2.0,1.0,2.0,650.0,1,"Playground, Jogging Track, Lift, Barbeque area, Swimming Pool, Gymnasium, Security, Sauna, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Cheras,10,1,1,4,1,1,1,0,1500.0
Prisma Cheras,Condominium,1.0,1.0,1.0,900.0,1,"Playground, Squash Court, Security, Gymnasium, Swimming Pool, Barbeque area, Tennis Court, Sauna",,Kuala Lumpur,Cheras,8,1,1,1,0,0,0,0,1100.0
Arte Mont Kiara,Service Residence,2.0,0.0,1.0,886.0,0,"Lift, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Squash Court, Tennis Court",,Kuala Lumpur,Mont Kiara,10,1,1,1,0,0,0,0,1700.0
The Holmes,Condominium,3.0,2.0,2.0,1018.0,2,"Lift, Security, Gymnasium, Swimming Pool, Barbeque area, Playground, Minimart, Multipurpose hall, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Cheras,9,1,1,3,0,1,1,0,2200.0
Apartment Sentul,Apartment,3.0,1.0,2.0,948.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Sentul,9,1,1,3,1,1,1,0,1450.0
Platinum Suites,Service Residence,1.0,0.0,1.0,850.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,KLCC,13,1,1,5,1,1,1,1,3100.0
Brem Park,Condominium,3.0,0.0,2.0,1040.0,2,"Security, Swimming Pool, Squash Court, Gymnasium, Minimart, Playground, Tennis Court, Barbeque area, Sauna, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur,Kuchai Lama,10,1,1,2,0,1,1,0,1600.0
Manor Apartment,Apartment,3.0,0.0,2.0,900.0,0,Playground,,Kuala Lumpur,Cheras,1,0,0,1,0,0,0,0,1300.0
Megan Setapak,Flat,3.0,0.0,2.0,1000.0,0,,,Kuala Lumpur,Setapak,0,0,0,1,0,0,0,0,1200.0
Apartment Sentul,Apartment,3.0,2.0,2.0,1037.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Sentul,9,1,1,4,1,1,1,0,1600.0
Zeta Deskye Residence,Condominium,3.0,2.0,2.0,1037.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Jalan Ipoh,9,1,1,4,1,1,1,0,1600.0
Sky Awani Residensi 4,Condominium,3.0,1.0,2.0,800.0,0,"Jogging Track, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Gymnasium",Cooking Allowed,Kuala Lumpur,Setapak,7,1,1,1,0,0,1,0,1500.0
Perdana Villa (Pandan Perdana),Apartment,3.0,0.0,2.0,806.0,1,Security,"Air-Cond, Cooking Allowed",Kuala Lumpur,Cheras,1,0,0,2,0,1,1,0,1180.0
Villa Crystal,Condominium,3.0,2.0,3.0,1155.0,2,"Playground, Swimming Pool, Gymnasium, Jogging Track, Sauna, Security",,Kuala Lumpur,Segambut,6,1,1,1,0,0,0,0,2000.0
M City,Service Residence,2.0,1.0,2.0,1052.0,2,"Squash Court, Security, Minimart, Sauna, Playground, Gymnasium, Lift, Barbeque area, Swimming Pool, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,KL City,10,1,1,4,1,1,1,0,2500.0
Seksyen 1 Wangsa Maju Flat,Flat,2.0,0.0,1.0,600.0,1,"Minimart, Jogging Track, Playground","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Wangsa Maju,3,0,0,2,1,0,1,0,1200.0
Bennington Residences @ SkyArena,Condominium,3.0,2.0,2.0,1100.0,1,,,Kuala Lumpur,Setapak,0,0,0,1,0,0,0,0,1999.0
The Nest Residence @ Genting Klang,Condominium,3.0,1.0,2.0,1000.0,1,"Security, Minimart, Squash Court, Playground, Swimming Pool, Jogging Track, Lift, Gymnasium, Tennis Court",,Kuala Lumpur,Setapak,9,1,1,1,0,0,0,0,1799.0
Changkat View Condominium,Condominium,5.0,1.0,1.0,1100.0,2,"Security, Jogging Track, Minimart, Squash Court, Gymnasium, Lift, Sauna, Playground, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,Solaris Dutamas,9,1,1,5,1,1,1,1,800.0
Desa Permai,Condominium,3.0,1.0,2.0,1130.0,2,"Gymnasium, Playground, Swimming Pool, Minimart, Barbeque area, Security, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Taman Desa,7,1,1,3,0,1,1,0,1800.0
Arte Mont Kiara,Service Residence,2.0,2.0,1.0,925.0,2,"Multipurpose hall, Playground, Swimming Pool, Lift, Security, Gymnasium, Club house, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Mont Kiara,8,1,1,4,1,1,1,0,2998.0
"Fera Residence @ The Quartz, Wangsa Maju",Condominium,3.0,2.0,2.0,850.0,2,Swimming Pool,,Kuala Lumpur,Wangsa Maju,1,1,0,1,0,0,0,0,2800.0
OUG Parklane,Condominium,3.0,1.0,2.0,950.0,1,"Minimart, Sauna, Playground, Security, Swimming Pool, Squash Court",,Kuala Lumpur,OUG,6,1,0,1,0,0,0,0,1200.0
Regalia Residence,Service Residence,1.0,0.0,1.0,560.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,Jalan Sultan Ismail,13,1,1,5,1,1,1,1,2100.0
KL Traders Square,Condominium,4.0,1.0,2.0,940.0,1,,,Kuala Lumpur,Setapak,0,0,0,1,0,0,0,0,1450.0
Putra Suria Residence,Condominium,3.0,1.0,2.0,748.0,2,"Security, Jogging Track, Minimart, Swimming Pool, Gymnasium, Lift","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Cheras,6,1,1,3,1,0,1,0,1350.0
The Birch,Service Residence,2.0,1.0,1.0,652.0,1,"Barbeque area, Security, Playground, Gymnasium, Multipurpose hall, Swimming Pool, Jogging Track, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Jalan Ipoh,8,1,1,3,1,1,1,0,1600.0
Sri Intan 2,Condominium,3.0,0.0,2.0,1200.0,1,"Jogging Track, Minimart, Swimming Pool, Barbeque area, Security, Playground, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Jalan Ipoh,7,1,0,3,1,1,1,0,1300.0
Taman Connaught,Condominium,2.0,1.0,2.0,650.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Jogging Track, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Cheras,8,1,1,3,1,1,1,0,1500.0
Flat Danau Kota,Apartment,3.0,0.0,1.0,700.0,0,"Lift, Minimart",Cooking Allowed,Kuala Lumpur,Setapak,2,0,0,1,0,0,1,0,950.0
Anjung Hijau,Condominium,3.0,0.0,2.0,1100.0,2,"Barbeque area, Minimart, Jogging Track, Security, Playground","Cooking Allowed, Air-Cond, Washing Machine",Kuala Lumpur,Bukit Jalil,5,0,0,3,0,1,1,0,1950.0
Heritage Condominiun,Condominium,3.0,1.0,2.0,1280.0,2,"Playground, Gymnasium, Squash Court, Barbeque area, Minimart, Swimming Pool, Club house, Sauna, Lift, Security, Multipurpose hall, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,Setapak,13,1,1,5,1,1,1,1,1600.0
Pangsapuri Seroja (Laman Rimbunan),Apartment,3.0,0.0,2.0,750.0,1,Minimart,,Kuala Lumpur,Kepong,1,0,0,1,0,0,0,0,750.0
Central Residence @ Sg Besi,Apartment,2.0,2.0,2.0,731.0,2,"Security, Playground, Swimming Pool, Barbeque area, Multipurpose hall, Gymnasium, Sauna, Lift",,Kuala Lumpur,Sungai Besi,8,1,1,1,0,0,0,0,1600.0
M3 Residency,Service Residence,3.0,0.0,2.0,810.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Setapak,8,1,1,4,1,1,1,0,1700.0
Residensi Jalilmas,Apartment,3.0,1.0,2.0,800.0,1,"Security, Minimart, Multipurpose hall",,Kuala Lumpur,Bukit Jalil,3,0,0,1,0,0,0,0,1200.0
The Elements,Service Residence,2.0,0.0,2.0,950.0,2,"Swimming Pool, Barbeque area, Multipurpose hall, Security, Sauna, Playground, Gymnasium, Jogging Track, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Ampang,9,1,1,3,0,1,1,0,2100.0
PV9 Residences @ Taman Melati,Service Residence,3.0,2.0,2.0,1000.0,1,"Security, Lift, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Setapak,4,1,1,4,1,1,1,0,2200.0
M Centura,Condominium,2.0,1.0,1.0,650.0,2,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,Sentul,13,1,1,5,1,1,1,1,1200.0
PPA1M Bukit Jalil,Apartment,3.0,1.0,2.0,1200.0,1,"Security, Lift, Playground, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Bukit Jalil,4,0,0,4,1,1,1,0,1300.0
M Centura Sentul,Service Residence,2.0,1.0,1.0,646.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium","Internet, Cooking Allowed",Kuala Lumpur,Sentul,5,1,1,2,0,0,1,1,1400.0
Pertama Residency,Condominium,1.0,0.0,1.0,700.0,2,"Jogging Track, Tennis Court, Squash Court, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,Cheras,13,1,1,5,1,1,1,1,1500.0
Dorsett Residences Sri Hartamas,Service Residence,2.0,1.0,1.0,560.0,2,"Gymnasium, Security, Lift, Swimming Pool, Playground","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Sri Hartamas,5,1,1,3,0,1,1,0,2100.0
Changkat View Condominium,Condominium,3.0,1.0,2.0,1100.0,2,"Sauna, Playground, Swimming Pool, Security, Gymnasium, Lift, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Solaris Dutamas,8,1,1,3,0,1,1,0,1900.0
Winner Court A,Condominium,3.0,1.0,2.0,765.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Desa Petaling,10,1,1,4,1,1,1,0,1000.0
Cendana Apartment,Apartment,3.0,0.0,2.0,660.0,1,"Playground, Security, Minimart, Lift","Near KTM/LRT, Cooking Allowed",Kuala Lumpur,Cheras,4,0,0,2,1,0,1,0,900.0
Emerald Hills,Condominium,2.0,2.0,2.0,893.0,2,"Playground, Jogging Track, Security, Club house, Swimming Pool, Barbeque area, Sauna, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Cheras,9,1,1,3,0,1,1,0,2000.0
Prisma Cheras,Condominium,1.0,1.0,1.0,720.0,2,"Playground, Tennis Court, Sauna, Swimming Pool, Security, Gymnasium, Squash Court, Barbeque area, Lift","Cooking Allowed, Air-Cond",Kuala Lumpur,Cheras,9,1,1,2,0,1,1,0,1000.0
Residensi Vista Wirajaya,Apartment,3.0,1.0,2.0,885.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Setapak,11,1,1,2,1,0,1,0,1700.0
Pangsapuri Seroja,Apartment,3.0,0.0,2.0,650.0,1,"Lift, Playground, Minimart",Near KTM/LRT,Kuala Lumpur,Jinjang,3,0,0,1,1,0,0,0,750.0
288 Residency,Condominium,4.0,2.0,4.0,1896.0,0,,Cooking Allowed,Kuala Lumpur,Setapak,0,0,0,1,0,0,1,0,2450.0
Majestic Maxim,Service Residence,2.0,1.0,2.0,650.0,1,"Barbeque area, Swimming Pool, Jogging Track, Gymnasium, Lift, Security, Playground, Multipurpose hall, Minimart, Sauna","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,Cheras,10,1,1,4,1,1,1,0,1500.0
Majestic Maxim,Service Residence,2.0,1.0,2.0,650.0,1,"Barbeque area, Swimming Pool, Jogging Track, Gymnasium, Lift, Security, Playground, Minimart, Multipurpose hall, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Cheras,10,1,1,4,1,1,1,0,1600.0
De Tropicana,Condominium,3.0,0.0,2.0,1102.0,1,"Swimming Pool, Sauna, Security, Minimart, Playground, Gymnasium, Barbeque area, Tennis Court, Squash Court","Cooking Allowed, Washing Machine",Kuala Lumpur,Kuchai Lama,9,1,1,2,0,0,1,0,350.0
Seri sentosa old Klang road,Apartment,3.0,0.0,1.0,750.0,0,,,Kuala Lumpur,Old Klang Road,1,0,0,1,0,0,0,0,650.0
The Loft @ ZetaPark,Condominium,1.0,1.0,1.0,660.0,0,"Jogging Track, Multipurpose hall, Swimming Pool, Sauna, Security, Gymnasium, Lift, Playground, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Setapak,9,1,1,3,1,1,1,0,1250.0
Rampai Court,Apartment,2.0,0.0,1.0,650.0,2,"Barbeque area, Playground, Security",,Kuala Lumpur,Wangsa Maju,3,0,0,1,0,0,0,0,1200.0
Platinum Splendor Residensi Semarak,Condominium,3.0,2.0,2.0,926.0,1,"Swimming Pool, Tennis Court, Gymnasium, Lift, Security, Playground, Sauna, Minimart, Squash Court",Cooking Allowed,Kuala Lumpur,Keramat,9,1,1,1,0,0,1,0,1500.0
The Ooak (Kiara 163),Service Residence,1.0,0.0,1.0,600.0,2,"Lift, Jogging Track, Security, Swimming Pool, Minimart, Playground, Gymnasium, Barbeque area","Cooking Allowed, Air-Cond, Washing Machine",Kuala Lumpur,Mont Kiara,8,1,1,3,0,1,1,0,2800.0
The Henge Kepong,Condominium,4.0,2.0,2.0,1300.0,1,"Lift, Squash Court, Security, Multipurpose hall, Swimming Pool, Gymnasium, Tennis Court, Sauna, Minimart, Playground, Barbeque area","Air-Cond, Near KTM/LRT",Kuala Lumpur,Kepong,11,1,1,2,1,1,0,0,1800.0
3 Towers,Service Residence,1.0,0.0,2.0,850.0,2,"Security, Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Ampang Hilir,6,1,1,3,0,1,1,0,2300.0
Mont Kiara Astana,Condominium,3.0,0.0,2.0,1408.0,2,"Barbeque area, Tennis Court, Security, Playground, Swimming Pool, Minimart, Lift",Washing Machine,Kuala Lumpur,Mont Kiara,7,1,0,1,0,0,0,0,3900.0
M3 Residency,Service Residence,3.0,1.0,2.0,807.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Minimart","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Setapak,7,1,1,3,1,0,1,0,1500.0
Residensi Platinum Teratai,Condominium,3.0,1.0,2.0,928.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,Setapak,8,1,1,4,1,1,1,0,2000.0
Midah Ria,Condominium,3.0,1.0,2.0,967.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Cheras,6,1,1,3,1,1,1,0,1350.0
Awana Puri Condominiums,Condominium,3.0,1.0,2.0,1100.0,1,"Security, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,Cheras,3,1,0,4,1,1,1,0,1450.0
Residensi Kerinchi,Condominium,3.0,1.0,2.0,900.0,0,"Multipurpose hall, Security, Lift, Swimming Pool, Minimart","Near KTM/LRT, Cooking Allowed",Kuala Lumpur,Bangsar South,5,1,0,2,1,0,1,0,1900.0
Kenari Apartment (Taman Melati),Apartment,3.0,0.0,2.0,900.0,0,"Security, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Setapak,2,0,0,2,1,0,1,0,1200.0
Putra Villa,Condominium,3.0,0.0,2.0,1076.0,2,"Lift, Swimming Pool, Security, Playground, Gymnasium, Minimart, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Setapak,7,1,1,4,1,1,1,0,1800.0
Royal Regent (Sri Putramas 3),Condominium,3.0,1.0,2.0,1100.0,2,"Minimart, Playground, Swimming Pool, Tennis Court, Gymnasium, Sauna, Security, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Jalan Kuching,8,1,1,3,0,1,1,0,1900.0
28 Boulevard,Service Residence,2.0,1.0,2.0,678.0,2,"Minimart, Tennis Court, Squash Court, Playground, Swimming Pool, Lift, Jogging Track, Security, Gymnasium, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Pandan Perdana,12,1,1,4,1,1,1,0,2100.0
Serini Melawati,Service Residence,2.0,2.0,1.0,630.0,1,,"Air-Cond, Cooking Allowed",Kuala Lumpur,Taman Melawati,0,0,0,2,0,1,1,0,1600.0
Residensi Vista Wirajaya,Apartment,3.0,1.0,2.0,885.0,0,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",,Kuala Lumpur,Setapak,13,1,1,1,0,0,0,0,1600.0
Widuri Impian,Service Residence,3.0,2.0,2.0,1008.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Tennis Court","Cooking Allowed, Air-Cond",Kuala Lumpur,Desa Petaling,7,1,1,2,0,1,1,0,1700.0
Perdana Puri,Condominium,3.0,1.0,2.0,904.0,0,"Security, Lift, Swimming Pool, Playground, Minimart, Jogging Track",Cooking Allowed,Kuala Lumpur,Kepong,6,1,0,1,0,0,1,0,1100.0
Residensi Jalilmas,Apartment,3.0,1.0,2.0,800.0,1,"Multipurpose hall, Minimart, Security, Lift","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Bukit Jalil,4,0,0,2,1,0,1,0,1200.0
Mahsuri Apartment (Setiawangsa),Apartment,3.0,1.0,1.0,820.0,0,"Security, Playground",,Kuala Lumpur,Setiawangsa,2,0,0,1,0,0,0,0,1200.0
Rivercity Condominium,Condominium,3.0,1.0,2.0,1200.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Jalan Ipoh,7,1,1,2,1,0,1,0,1500.0
Eco Sky,Service Residence,2.0,1.0,2.0,900.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Jalan Ipoh,13,1,1,3,1,1,1,0,1600.0
Maxim Residences,Service Residence,3.0,2.0,2.0,1050.0,1,"Security, Gymnasium, Swimming Pool, Lift, Playground, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Cheras,6,1,1,3,1,1,1,0,1400.0
Bayu Sentul Condominium,Condominium,3.0,1.0,2.0,1300.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Cooking Allowed, Washing Machine",Kuala Lumpur,Sentul,11,1,1,2,0,0,1,0,1800.0
Abadi Villa,Condominium,3.0,1.0,2.0,1240.0,2,"Security, Swimming Pool, Sauna, Tennis Court, Barbeque area, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Taman Desa,7,1,1,3,0,1,1,0,1700.0
Angkupuri,Condominium,3.0,1.0,2.0,1250.0,2,"Tennis Court, Swimming Pool, Sauna, Security, Playground, Gymnasium, Jogging Track, Minimart, Squash Court, Barbeque area","Air-Cond, Washing Machine",Kuala Lumpur,Mont Kiara,10,1,1,2,0,1,0,0,2600.0
Residensi Seri Wahyu @ Jalan Kuching KL,Apartment,3.0,1.0,2.0,805.0,1,"Jogging Track, Minimart, Gymnasium, Swimming Pool, Security, Lift, Squash Court, Playground, Sauna, Barbeque area","Air-Cond, Cooking Allowed",Kuala Lumpur,KL City,10,1,1,2,0,1,1,0,1200.0
Sutera Maya,Condominium,4.0,2.0,2.0,1341.0,1,"Multipurpose hall, Security, Jogging Track, Gymnasium, Playground, Swimming Pool, Lift, Barbeque area, Minimart, Sauna","Air-Cond, Near KTM/LRT, Cooking Allowed, Internet",Kuala Lumpur,Old Klang Road,10,1,1,4,1,1,1,1,1500.0
Residensi Vista Wirajaya,Apartment,3.0,1.0,2.0,850.0,1,"Security, Lift, Swimming Pool","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Setapak,3,1,0,3,1,0,1,0,1700.0
Cheras Ria,Flat,3.0,0.0,1.0,700.0,0,"Playground, Minimart, Lift",Cooking Allowed,Kuala Lumpur,Cheras,3,0,0,1,0,0,1,0,700.0
Seri Mas (Cheras),Condominium,3.0,0.0,2.0,865.0,1,"Barbeque area, Security, Swimming Pool, Playground, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Cheras,5,1,0,3,1,1,1,0,1300.0
Widuri Impian,Service Residence,3.0,2.0,2.0,1009.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Desa Petaling,8,1,1,4,1,1,1,0,1700.0
Residensi Vista Wirajaya,Apartment,3.0,1.0,2.0,850.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,Setapak,13,1,1,5,1,1,1,1,1500.0
