prop_name,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region,district,facility_count,has_pool,has_gym,additional_facility_count,near_rail,has_ac,cooking_allowed,has_internet,rent
Majestic Maxim,Service Residence,3.0,1.0,2.0,819.0,0,"Security, Swimming Pool, Jogging Track, Barbeque area, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Cheras,7,1,1,4,1,1,1,0,1199.0
Majestic Maxim,Service Residence,2.0,1.0,2.0,650.0,0,"Jogging Track, Security, Playground, Barbeque area, Gymnasium, Lift, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur,Cheras,7,1,1,2,0,1,1,0,1100.0
Sri Penara,Apartment,3.0,0.0,2.0,650.0,0,"Minimart, Playground",,Kuala Lumpur,Cheras,2,0,0,1,0,0,0,0,1000.0
Prisma Cheras,Condominium,1.0,1.0,1.0,900.0,1,"Swimming Pool, Barbeque area, Sauna, Security, Gymnasium, Tennis Court, Squash Court, Playground",,Kuala Lumpur,Cheras,8,1,1,1,0,0,0,0,1100.0
Menara Alpha,Condominium,3.0,1.0,2.0,1140.0,0,"Minimart, Security, Gymnasium, Swimming Pool, Playground",,Kuala Lumpur,Wangsa Maju,5,1,1,1,0,0,0,0,1400.0
Berlian Residence @ Setapak,Condominium,3.0,1.0,2.0,900.0,0,"Security, Lift, Swimming Pool, Multipurpose hall",,Kuala Lumpur,Setapak,4,1,0,1,0,0,0,0,1500.0
28 Dutamas,Condominium,4.0,2.0,3.0,1500.0,1,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur,Solaris Dutamas,6,1,1,2,0,1,1,0,2500.0
28 Dutamas,Condominium,4.0,2.0,3.0,1719.0,2,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur,Solaris Dutamas,6,1,1,2,0,1,1,0,2900.0
Pangsapuri Melur (Sentul),Apartment,3.0,0.0,2.0,1065.0,1,,,Kuala Lumpur,Sentul,0,0,0,1,0,0,0,0,1750.0
Residensi Vista Wirajaya,Apartment,3.0,1.0,2.0,885.0,2,,,Kuala Lumpur,Setapak,0,0,0,1,0,0,0,0,1800.0
